Id,Title,Date,Link,Content
1,Officielt: Bodø/Glimt henter ung dansker,"Mar 30, 2024",https://bold.dk/fodbold/stillinger/norge-eliteserien/nyheder/officielt-bodoglimt-henter-ung-dansker,"Onsdag lød det, at norske Bodø/Glimt forhandlede med FC Nordsjælland om talentfulde Villads Nielsen, og nu er handlen på plads. Lørdag aften oplyser den norske mesterklub, at man har hentet den 19-årige forsvarsspiller i Farum og udstyret ham med en fireårig aftale. Det blev dermed aldrig til officiel debut på FCN's førstehold, og derfor glæder den unge stopper sig da også til førsteholdsfodbold i det norske. - Det bliver super spændende. Jeg har spillet i Nordsjælland i ni år, men nu er det tid til at prøve noget nyt, og jeg føler, at det var det rigtige at vælge Glimt. Eliteserien -Officielt: Bodø/Glimt henter ung dansker - Jeg har set klubbens resultater de seneste år og den måde, som klubben udvikler sig på. Det er noget, som jeg kan se mig selv i, lyder det fra danskeren til klubbens hjemmeside. Villads Nielsen står noteret for et enkelt mål i 14 kampe i U19-ligaen i denne sæson. I Bodø/Glimt bliver han holdkammerat Albert Grønbæk, Adam Sørensen og Kasper Høgh."
2,Dansk angriber rykker til storklub i Finland,"Mar 15, 2024",https://bold.dk/fodbold/stillinger/finland-veikkausliga/nyheder/dansk-angriber-rykker-til-storklub-i-finland,"Mads Borchers er færdig i svensk fodbold, da han nu drager videre til Finland. Den 21-årige danske angriber har nemlig fået en aftale på plads med VPS. Det meddeler den finske storklub på sin hjemmeside. - Når man skriver kontrakt med en stor finsk klub, kan man ikke andet end at være tilfreds. Det er spændende at opleve finsk fodbold, og jeg synes, at Veikkausliiga er af høj kvalitet. Jeg ser frem til, hvad der kommer. - Jeg tror, at jeg vil bringe mere styrke til holdet med min hurtighed og fysik. - Mine forventninger er høje - jeg håber, at vi vil være bedre i Veikkausliiga end sidste år, siger Mads Borchers. I sidste sæson endte VPS på tredjepladsen i rækken, hvor man siden sikrede sig en plads i Conference League-kvalifikationen efter sommerferien. Angriberen er kommet til fra Varbergs BoIS, som i sidste sæson spillede i Allsvenskan. Her nåede 16 kampe med et enkelt mål på kontoen. Han har tidligere været forbi klubber som Esbjerg, 07 Vestur og HB Torshavn. Mads Borchers har skrevet under på en kontrakt frem til udgangen af 2024 med VPS. Der er en option på yderligere et år i aftalen."
3,Trænerrokade koster: FC Helsingør-spiller må til Færøerne,"Mar 15, 2024",https://bold.dk/fodbold/stillinger/1-division/nyheder/traenerrokade-koster-fc-helsingor-spiller-ma-til-faeroerne,"En række dårlige resultater og en trænerrokade har gjort, at Robert Marcus er røget ud i kulden i FC Helsingør. Det har parterne nu taget konsekvensen af, da midtbanespilleren er blevet udlejet til det færøske hold EB/Streymur i resten af sæsonen. Det meddeler FC Helsingør i en pressemeddelelse. - Robert Marcus er en ung spiller, som vi har store forventninger til og satser på, men der har været langt til spilletid i den seneste periode. - Vi er derfor glade for udsigten til, at Robert kan få masser af spilletid og komme tilbage med mere erfaring, udtaler direktør Bo Bay Hougaard. Hovedpersonen selv ser også en lejeaftale som den rette løsning. I efteråret var han fast mand, men i foråret har han ikke været udtaget. - Udsigten til spilletid i de resterende kampe var ikke optimal, så jeg blev i fællesskab med klubben og trænerstaben enige om, at dette er den bedste løsning for at jeg kan få spilletid og dermed fortsætte min udvikling. - Det bliver spændende at prøve noget andet, men jeg er fast besluttet på at vende hjem endnu bedre og selvfølgelig fortsat spille førstedivision for FC Helsingør efter sommer. 20-årige Robert Marcus har kontrakt med FC Helsingør frem til sommeren 2026."
4,Trods aftale: Werder Bremen mister allerede Frankfurt-lejesvend,"Mar 6, 2024",https://bold.dk/fodbold/stillinger/tyskland-1-bundesliga/nyheder/trods-aftale-werder-bremen-mister-allerede-frankfurt-lejesvend,"Rafael Borrés lejeaftale med Werder Bremen er blevet ophævet øjeblikkeligt. Eintracht Frankfurt havde ellers solgt ham til Internacional i Brasilien, hvor skiftet først skulle på igennem til sommer, men det er der nu blevet lavet om på.
Borré skifter nemlig allerede nu til brasiliansk fodbold, hvor Internacional har sikret ham på en aftale frem til udgangen af 2028. Det meddeler Werder på sin hjemmeside. I denne sæson blev det til fire mål i 19 kampe for Borrés vedkommende. Borré fik en god start i tysk fodbold, da han blandt andet vandt Europa League med Frankfurt, men i sidste sæson blev det blot til to scoringer i 32 Bundesliga-kampe. Han blev derfor udlejet til Werder Bremen i denne sæson, som også var en pose blandet bolsjer. Nu skal han så hjælpe Internacional i Brasilien."
5,Amerikansk landsholdsback forlader Messi og co.,"Mar 4, 2024",https://bold.dk/fodbold/stillinger/usa-major-league-soccer/nyheder/amerikansk-landsholdsback-forlader-messi-og-co,"Slut med Miami og Messi. Fremadrettet skal USA's landsholdsback DeAndre Yedlin ikke tørne ud for Inter Miami i MLS. I stedet er den 30-årige amerikaner skiftet til ligarivalerne fra FC Cincinatti længere mod nord. Højrebacken kom til Miami i februar 2022, og det er siden blevet til 82 kampe for klubben. Det er én flere end for det amerikanske landshold, hvor den Seattle-fødte spiller er tørnet ud 81 gange siden debuten i 2014. DeAndre Yedlin har spillet fire sæsoner i Newcastle, hvor han er noteret for 125 kampe, tre mål og 11 assists. Han har også tidligere været på kontrakt i Tottenham og Sunderland."
6,AGF sikrer sig ombejlet islænding,"Mar 4, 2024",https://bold.dk/fodbold/stillinger/superligaen/nyheder/agf-sikrer-sig-ombejlet-islaending,"Islandske talenter er i høj kurs i 3F Superligaen, hvor især FC København har gjort sig bemærket med flere erhvervelser fra vulkanøen. Til sommer bliver det dog AGF, der får glæden af 16-årige Tomas Oli Kristjansson, som har skrevet under på en treårig aftale. Det skriver Superliga-klubben på sin hjemmeside mandag. - Tomas eller ”Tommi” som han kaldes, er en teknisk stærk spiller som er god i en mod en-situationer i offensiven. Han har også en fin fart og et rigtig godt spark. - Han har været ombejlet af flere klubber og har blandt andet også været til prøvetræning i Benfica og Real Sociedad, men har valgt os som sin kommende klub, og vi ser frem til at hjælpe ham til at fortsætte sin udvikling os hos, lyder det fra talentchef i AGF, Jesper Ørskov. Tomas Oli Kristjansson kommer til fra Stjarnan FC og skal i første omgang spille på AGF's U17-hold."
7,AGF-emne vender hjem til Allsvenskan,"Feb 27, 2024",https://bold.dk/fodbold/stillinger/sverige-allsvenskan/nyheder/agf-emne-vender-hjem-til-allsvenskan,"I starten af februar blev AGF sat i forbindelse med Daleho Irandust, der var havnet langt ude i kulden hos hollandske Groningen. Det bliver dog ikke til et østjysk skifte i denne omgang. Tirsdag meddeler Brommapojkarna således, at man har udstyret den 25-årige svensker med en toårig aftale. Daleho Irandust nåede at spille 45 kampe for Groningen, som han har repræsenteret siden 2021. Offensivspilleren har tidligere tørnet ud for klubber som GAIS og BK Häcken."
8,Djurgården henter norsk stortalent i Bodø/Glimt,"Feb 23, 2024",https://bold.dk/fodbold/stillinger/sverige-allsvenskan/nyheder/djurgarden-henter-norsk-stortalent-i-bodoglimt,"I sommer betalte Bodø/Glimt hele 20 millioner danske kroner for Tobias Gulliksen, som blev hentet i Strømsgodset. Efter kun syv måneder går turen dog nu videre til svensk fodbold, hvor Djurgården har købt ham fri. - Han er meget målrettet og ambitiøs, og hans præstationer i Strømsgodset vakte stor opmærksomhed. Han tog så til Bodø sidste sommer, og trods begrænset spilletid er han fortsat med at præstere på et højt niveau med flere mål. - Konkurrencesituationen i Bodø er ekstrem hård, og spilletid er naturligvis vigtig for udviklingen. - Derfor har vi i længere tid haft en dialog med Bodø om Tobias' fremtid for at gennemgå muligheden for, at han flytter til Djurgården, lyder det fra Djurgården-sportschef Bosse Andersson til klubbens hjemmeside. Tobias Gulliksen har skrevet under på en kontrakt, der gælder frem til 2027. Den unge nordmand nåede 24 optrædener og fem mål i Bodø/Glimt-trøjen."
9,Esbjerg forstærker midtbanen med gratis nordmand,"Feb 22, 2024",https://bold.dk/fodbold/klubber/esbjerg-fb/nyheder/esbjerg-forstaerker-midtbanen-med-gratis-nordmand,"2. divisions tophold Esbjerg har sikret sig en opgradering til den centrale midtbane. Der er tale om tilgangen af den transferfrie Mikail Maden, som har skrevet under på en kontrakt frem til sommeren 2024. 22-årige Maden har den seneste tid været på prøve hos klubben fra vestkysten, og det har altså været en succes. Lars ""Lungi"" Sørensen er tilfreds med aftalen, fortæller han til klubbens hjemmeside: – I Mikail Maden får vi en dygtig spiller og en målrettet og dedikeret fyr ind i truppen, som vi hilser velkommen. - Sportsligt har Mikail de seneste uger efterladt et rigtig godt indtryk, og der er ingen tvivl om, han er en god fodboldspiller. - Han er både god med bolden og til at passe på den, og de kvaliteter passer fint ind i det, vi gerne vil i EfB, så vi er tilfredse. Maden har senest spillet for Fredrikstad FK, som netop er rykket op i den norske Eliteserie."
10,Forlod Kolding IF: Aarhus Fremad forstærker sig,"Feb 16, 2024",https://bold.dk/fodbold/klubber/aarhus-fremad/nyheder/forlod-kolding-if-aarhus-fremad-forstaerker-sig,"Aarhus Fremad sparker weekenden i gang med en transfer. 2. divisionsklubben har nemlig præsenteret Sebastian Denius, som er kommet til klubben på en fri transfer. Aarhus Fremad har præsenteret Denius på klubbens Facebook. - Nyeste mand i truppen er Sebastian Denius. Han spiller midtbane, og han spiller godt. Byd ham velkommen til Vangen, skriver klubben. Denius har senest været hos Kolding IF, som han forlod i januar. Midtbanespilleren har i denne sæson spillet ti kampe for Kolding i NordicBet Ligaen med en enkelt assist til følge. 28-årige Sebastian Denius har tidligere været forbi klubber som Viborg FF, Kjellerup IF og Skive."
11,Brentford køber potentiel Toney-afløser i Brugge,"Feb 14, 2024",https://bold.dk/fodbold/stillinger/premier-league/nyheder/brentford-kober-potentiel-toney-afloser-i-brugge,"Igor Thiago skifter til sommer fra Club Brugge til Brentford. Det bekræfter Premier League-klubben på sin hjemmeside. Her fremgår det, at den 22-årige brasilianer har sat sin underskrift på en kontrakt, der kommer til at holde ham fem år i Brentford startende fra sommer. Brentford har desuden en option til at forlænge aftalen med yderligere et år. Igor Thiago har i indeværende sæson noteret sig for 26 mål i 40 kampe for Club Brugge, som han skiftede til fra Ludogorets i sommeren 2023. Brentford-træner Thomas Frank har for nylig erkendt, at holdets angrebsprofil Ivan Toney nok er fortid til sommer, og nu lader det altså til, at London-klubben handler med rettidig omhu. "
12,MLS-klub henter offensivspiller i Middlesbrough,"Feb 12, 2024",https://bold.dk/fodbold/stillinger/usa-major-league-soccer/nyheder/mls-klub-henter-offensivspiller-i-middlesbrough,"Lukas Engel er blevet en holdkammerat fattigere i Middlesbrough. Mandag aften oplyser Real Salt Lake nemlig, at man har sikret sig 30-årige Matt Crooks, der i løbet af de seneste to og et halvt år har spillet 115 kampe for Championship-mandskabet. Den offensive midtbanespiller har skrevet under på en aftale, der gælder frem til 2026. I indeværende sæson er det blevet til 25 optrædener og tre scoringer i den næstbedste engelske række. I Real Salt Lake bliver englænderen holdkammerater med den tidligere FC København-spiller Bryan Oviedo, der har spillet i MLS-klubben siden sommeren 2022."
13,Tidligere FCK-ivorianer har fundet sin nye klub,"Feb 12, 2024",https://bold.dk/fodbold/klubber/ujpest/nyheder/tidligere-fck-ivorianer-har-fundet-sin-nye-klub,"I 2015 hentede FC København den dengang 18-årige Aboubakar Keita i hjemlandet. Den ivorianske midtbanespiller formåede dog aldrig at slå igennem for de danske mestre, der solgte ham videre til belgisk fodbold i 2019. Her formåede han heller ikke at få sit gennembrud, og turen gik derfor videre til AIK for et års tid siden. Det blev dog blot til 16 optrædener for den svenske storklub, der valgte at ophæve kontrakten med den 26-årige spilfordeler tilbage i januar. Han har derfor været fri på markedet siden, men jagten efter en ny arbejdsgiver er nu slut. Mandag oplyser Ujpest således, at man har skrevet kontrakt med den tidligere FCK-spiller. Den ungarske klub melder intet ud om kontraktlængden."
14,Bournemouth indløser købsoption på Leeds-raket,"Feb 9, 2024",https://bold.dk/fodbold/stillinger/premier-league/nyheder/bournemouth-indloser-kobsoption-pa-leeds-raket,"Luis Sinisterra fortsætter på permanent basis hos Bournemouth. Det bekræfter Premier League-klubben på sin hjemmeside. Den 24-årige kantspiller har været udlejet fra Leeds til Bournemouth siden sommeren 2023. Lejeaftalen indeholdt en købsoption, og den har The Cherries nu valgt at indløse til stor glæde for hovedpersonen selv. - Jeg er meget glad for, at skiftet nu er permanent. - Det glæder mig, at jeg skal fortsætte med at spille her i klubben på lang sigt, siger Sinisterra ifølge Bournemouths hjemmeside. Længden på Sinisterras kontrakt bliver ikke oplyst, men Bournemouth skriver, at der er tale om en lang aftale. Luis Sinisterra har indtil videre noteret sig for tre mål og tre assists i 17 kampe for Bournemouth. "
15,Young Boys FD henter OB-talent,"Feb 4, 2024",https://bold.dk/fodbold/stillinger/superligaen/nyheder/young-boys-fd-henter-ob-talent,"Sebastian Dalby Wille skifter fra OB til Young Boys FD. Det meddeler 3. divisionsklubben på sin hjemmeside. Her fremgår det, at parterne i første omgang har indgået en aftale, der løber til udgangen af juni. Tilgangen af den 18-årige keeper glæder direktøren Holger Kristiansen, der kun lige akkurat nåede at få transferen på plads, inden vinduet smækkede i. - Vi har i vinduet været på jagt efter et eller to unge supplementer til Henrik Lindhard, og det var lige før, jeg var ved at give op. - Men i 11. time faldt det heldigvis på plads med Sebastian, siger Young Boys FD-bossen ifølge klubbens hjemmeside. Sebastian Dalby Wille har tidligere spillet i FC Midtjylland."
16,Officielt: Al-Shabab præsenterer Ivan Rakitic,"Feb 2, 2024",https://bold.dk/fodbold/stillinger/spanien-la-liga/nyheder/officielt-al-shabab-praesenterer-ivan-rakitic,"Endnu en profileret spiller rykker til Saudi-Arabien. Fredag aften er Ivan Rakitic således blevet præsenteret i Al-Shabab på en kontrakt frem til sommeren 2025. Den 35-årige kroat stod til at forlade Sevilla til sommer, hvor kontrakten med den sydspanske klub ville udløbe. Allerede nu tager han dog det næste skridt i en glorværdig karriere, der blandt andet har budt på ophold i Schalke og Barcelona. På samme tid er det blevet til hele 106 optrædener for det kroatiske landshold. "
17,Bekræftet: Serge Aurier skifter til tyrkisk storklub,"Feb 2, 2024",https://bold.dk/fodbold/nyheder/bekraeftet-serge-aurier-skifter-til-tyrkisk-storklub,"Galatasaray solgte tidligere på ugen Sacha Boey til Bayern München, som købte ham fri for knap 225 millioner danske kroner. Tyrkerne har derfor jagtet en erstatning for den franske back, og den er nu på plads. Fredag aften er Serge Aurier nemlig blevet præsenteret på en kontrakt, der køber frem til slutningen af sæsonen. Den 31-årige back kommer til fra Nottingham Forest, som han har repræsenteret siden september 2022. Han har udover Forest været forbi klubber som PSG, Tottenham og Villarreal."
18,Officielt: West Ham-handler er gået i orden,"Feb 2, 2024",https://bold.dk/fodbold/stillinger/premier-league/nyheder/officielt-west-ham-handler-er-gaet-i-orden,"Meldingerne lød først på, at handlerne var gået i vasken på grund af problemer med papirarbejdet. Fredag aften bekræfter West Ham dog, at man nu er lykkedes med at løse problemerne. Said Benrahma skifter derfor på en lejeaftale til Lyon, mens Pablo Fornals rykker til Real Betis på en permanent transfer. Sidstnævnte har skrevet under på en kontrakt, der gælder frem til sommeren 2029. Der nåede ellers at være drama for alle pengene, da Lyon i den grad gik i flæsket på West Ham.
"
19,Officielt: Nottingham henter Strasbourg-keeper,"Feb 2, 2024",https://bold.dk/fodbold/stillinger/frankrig-ligue-1/nyheder/officielt-nottingham-henter-strasbourg-keeper,"Nottingham har været på udkig efter forstærkning på målmandsposten, og ganske som ventet er det blevet Matz Sels fra Strasbourg. 31-årige Sels, som har seks landskampe for Belgien på CV'et, kommer på en aftale frem til sommeren 2027. I denne sæson har han stået 19 Ligue 1-kampe for Strasbourg. Matz Sels har tidligere stået for blandt andre Newcastle og Anderlecht."
20,Jon Dahl henter amerikansk angriber til slut,"Feb 2, 2024",https://bold.dk/fodbold/stillinger/championship/nyheder/jon-dahl-henter-amerikansk-angriber-til-slut,"Det blev til en indgående transfer for Blackburn i sidste øjeblik af transfervinduet. Tidligere på aftenen frasolgte man den hypede offensivspiller Adam Wharton for knap 200 millioner, mens Liverpool-stopperen Billy Koumetio er kommet ind. I 11. time præsenterer Jon Dahl Tomassons tropper nu en ny spiller. Denne gang er det 22-årige Duncan McGuire, som kan kalde sig Blackburn-spiller indtil sæsonen er omme. Dermed bliver McGuire vinduets sjette indgående transfer for Blackburn Rovers. Duncan McGuire fik sin landsholdsdebut for USA for to uger siden mod Slovenien. Han har tidligere været på FC Midtjyllands radar."
21,Aston Villa henter australsk keeper,"Feb 1, 2024",https://bold.dk/fodbold/nyheder/aston-villa-henter-australsk-keeper,"Unai Emery har forstærket sit hold på målmandsposten. Det er 23-årige Joe Gauci, som er ny mand mellem stængerne på Villa Park. Den australske keeper har tørnet ud for Adelaide United i hjemlandet, men han skifter nu til Birmingham-klubben, hvor han skal agere backup for Emi Martinez. Gauci er australsk landsholdskeeper, og han er i skrivende stund afsted til Asia Cup med sine landsmænd. Han er noteret for en enkel kamp for landet fra Oceanien."
22,Chelsea lejer ung brasilianer ud til fransk klub,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/frankrig-ligue-1/nyheder/chelsea-lejer-ung-brasilianer-ud-til-fransk-klub,Andrey Santos skal på græs i Strasbourg. Det står klart sent på transfervinduets sidste dag torsdag. I starten af året blev den 19-årige defensive midtbanespiller tilbagekaldt fra Nottingham Forest. Siden er det blevet til 97 minutters spilletid fordelt på to kampe i henholdsvis Premier League og EFL Cuppen. Resten af sæsonen skal han imidlertid bruge udenfor Englands grænser. Santos er nemlig blevet udlejet til Strasbourg for resten af sæsonen. Andrey Santos har spillet én gang for Brasiliens A-landshold.
23,Lyon henter midtbaneprofil i Nottingham,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/frankrig-ligue-1/nyheder/lyon-henter-midtbaneprofil-i-nottingham,"Nottingham befinder sig i en nedrykningskamp i Premier League, og overlevelse kan nu være besværliggjort. I hvert fald skal englænderne undvære Orel Mangala, som har spillet i 21 af 23 ligakampe. Det bliver sydfranske Lyon, som løber med den 28-årige midtbanespillers underskrift. Det gør de i en handel til en værdi af 90 millioner kroner for lejeaftalen tilføjet en frikøbsklausul på godt 135 millioner kroner. Belgieren nåede i alt 53 kampe for Nottingham Forest. Lyon kæmper selv mod en truende nedrykning i denne sæson, hvor man ligger på en 16. plads ud af 18 hold. Klubben er også blevet sat i forbindelse med Said Benrahma i West Ham."
24,City hjemkalder og udlejer venstreback til Cardiff,"Feb 1, 2024",https://bold.dk/fodbold/nyheder/city-hjemkalder-og-udlejer-venstreback-til-cardiff,"Der er gang i den helt store trupkabale i Europas fodboldklubber i disse timer. Om få timer lukker de respektive transfervinduer, og derfor skal alle forretninger overstås. Blandt andet i Manchester City, som har haft den 21-årige venstreback Josh Wilson-Esbrand på lån hos Mohamed Daramy og Stade Reims. Tidligere i dag blev den spanske venstreback Sergio Akieme hentet til Ligue 1-klubben, og dermed ville Wilson-Esbrand ryge længere endnu ned i hierarkiet. Derfor er han torsdag aften blevet kaldt hjem og ud igen på et udlån til Cardiff, som spiller i Championship. Aftalen løber til sommer og er ikke med købsklausul."
25,Walisisk landsholdsspids vender retur til Ipswich,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/championship/nyheder/walisisk-landsholdsspids-vender-retur-til-ipswich,"Det har ikke væltet med spilletid i indeværende Premier League-sæson for Kieffer Moore. Derfor søger den 31-årige angriber nu nye græsgange hos Ipswich i Championship. Waliseren har blot spillet otte ligakampe for The Cherries i år, og derfor har han sat kursen mod det østengelske, hvor Ipswich spiller med om oprykning. Moore har været på Vitality Stadium siden januar 2022, hvilket var tredje gang i karrieren, at han blev solgt i januar-transfervinduet."
26,Lille henter hypet Våleranga-topscorer,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/frankrig-ligue-1/nyheder/lille-henter-hypet-valeranga-topscorer,"Vålerenga havde et rædsomt 2023, som mundede ud i en nedrykning fra OBOS-Ligaen til Eliteserien. Et af de få lyspunkter for nordmændene var serbiske Andrej Ilic, som scorede ni ligamål på bare 13 kampe fra sin ankomst i august 2023. Den bedrift er ikke gået ubemærket hen i Fodboldeuropa, hvor større klubber har budt sig til. Sent torsdag er det bekræftet, at Lille er løbet med underskriften på den 23-årige angriber, som indtil i sommer spillede i upåagtede RFS i den lettiske liga. Det er blandt andet hovedspillet, som den 189 centimeter høje har gjort sig bemærket for. Tidligere på sæsonen bekendtgjorde holdkammeraten Christian Borchgrevink, der beskrev ham som ""bedre end Haaland i hovedspillet"". Ifølge franske L'Equipe har Ilic kostet Lille knap 30 millioner kroner. Der vil derudover være en 10 procents videresalgsklausul."
27,Burnley henter Ligue 1-stopper på lån,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/premier-league/nyheder/burnley-henter-ligue-1-stopper-pa-lan,"Transfervinduet lukker i torsdag aften, og klubber på tværs af Europa er ved at få de sidste handler på plads. Det gælder også i Premier League, hvor Burnley har forstærket sig i de bagerste geledder. Det er 21-årige Maxime Esteve, som kommer til klubben på en lejeaftale for resten af sæsonen. I denne sæson er det blevet til 14 kampe på tværs af turneringer for Esteve, som har spillet én U21-landskamp for Frankrig. 
I alt har han tørnet ud for det sydfranske hold mere end 50 kampe siden debuten i 2021. Se Burnleys humoristiske præsentation af deres nye midtstopper (E)steve herunder."
28,Luton forstærker sig med ung League One-spids,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/premier-league/nyheder/luton-forstaerker-sig-med-ung-league-one-spids,"Luton har forstærket sig med en purung angriber. Den 18-årige Taylan Harris er blevet hentet til lufthavnsbyen nord for London fra Reading. Reading, som har været i Premier League i det 21. århundrede, frister i øjeblikket en tilværelse på kanten af nedrykning fra League One. Taylan Harris er blot noteret for otte minutter som seniorspiller, men man må sige, at han har fået de minutter til at slå an. I sit indhop mod League One-rivalerne Exeter City nåede han både at finde netmaskerne og assistere i en 9-0, mens han på daværende tidspunkt var 17."
29,Verona henter polsk landsholdsbomber i MLS,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/italien-serie-a/nyheder/verona-henter-polsk-landsholdsbomber-i-mls,"Serie A-klubben Verona har forstærket sig foran en formodentlig hård bundduel i forårssæsonen. Det er Karol Swiderski, som kommer til klubben på en lejeaftale fra MLS-klubben Charlotte FC. Aftalen indeholder en købsoption. Verona har manglet mål i indeværende sæson, hvor det kun er blevet til 20 af slagsen, hvilket er færre end et per kamp. 27-årige Swiderski har bevist, at han kan finde netmaskerne for både klub og land. I MLS er det blevet til 22 mål i 61 kampe, mens han har fundet netmaskerne for Polen 10 gange i 28 kampe. Swiderski har tidligere været på holdkortet hos Jagiellona og PAOK Salonika."
30,Napoli udlejer kreatør til ligarivaler,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/italien-serie-a/nyheder/napoli-udlejer-kreator-til-ligarivaler,"Cagliari slider i det i indeværende sæson, og klubben fra Sardinien kæmper for overlevelse i Serie A. I forsøget på at hente de fornødne point har man hentet forstærkninger længere oppe i tabellen. Det sker i form af 23-årige Gianluca Gaetano, som kommer til klubben på en lejeaftale for sæsonen. Kreatøren har spillet knap 300 minutter i denne sæson fordelt på 13 kampe i alle turneringer. Det har kastet et enkelt mål og en assist af sig."
31,Milan sender ung spids til Sicilien på lån,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/italien-serie-b/nyheder/milan-sender-ung-spids-til-sicilien-pa-lan,"Milans unge angriber Chaka Traore får lov at bygge på formen i Serie B resten af sæsonen. Den 19-årige ivorianer startede 2024 på perfekt vis, da han kort efter sin 19 års fødselsdag scorede på sin startdebut for Milan. Nu skal den unge spids holde dampen oppe i Palermo, hvor han skal være indtil sæsonen er omme. Palermo ligger i skrivende stund på en femteplads i Serie B."
32,Henrykt Biel: Thorup kan udnytte mit fulde potentiale,"Feb 1, 2024",https://bold.dk/fodbold/nyheder/henrykt-biel-thorup-kan-udnytte-mit-fulde-potentiale,"Pep Biel er ny spiller i FC Augsburg. Den 27-årige spanier skifter til det sydtyske fra Olympiakos på en lejeaftale for resten af sæsonen. Dermed bliver Pep Biel genforenet med Jess Thorup, som han kender fra 2021/22-mesterskabssæsonen i FC København. Og muligheden for igen at arbejde med den danske træner var med til at træffe valget for den spanske kreatør. - Jeg er meget tilfreds med at skiftet lykkedes efter gode diskussioner med de ansvarlige, siger Biel på klubbens hjemmeside og fortsætter: - FC Augsburg er en ambitiøs klub og en familieklub, hvor jeg gerne vil bygge ovenpå den succesfulde tid i København.
- Selvfølgelig hjælper det, at jeg med Jess har mødt en træner, som ved, præcis hvordan man udnytter mit fulde potentiale. Der er en købsklausul inkluderet i kontrakten."
33,Werder henter norsk United-talent permanent,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/tyskland-1-bundesliga/nyheder/werder-henter-norsk-united-talent-permanent,"Jens Stage har fået en skandinavisk holdkammerat i Werder Bremen. Der er tale om 19-årige Isak Hansen-Aarøen, som skifter Manchester United ud med Bundesliga-klubben. Handlen er netop blevet offentliggjort kort efter transfervinduet er lukket i Tyskland klokken 18. Hansen-Aarøen nåede aldrig at få førsteholdsdebut for Manchester United, men han har optrådt flittigt for klubbens ungdomshold med UEFA Youth League-kampe mod FC Københavns unge løver til følge. Isak Hansen-Aarøen, som blandt andet er udsmykket med en fremtrædende halstatovering af en sommerfugl, spiller for det norske U21-landshold. Her har han optrådt seks gange og scoret et enkelt mål. Frem til 2020 spillede Isak Hansen-Aarøen for Tromsø, hvor han også er født."
34,Salernitana smeder mens jernet er varmt: Lejer Iron Gomis,"Feb 1, 2024",https://bold.dk/fodbold/stillinger/italien-serie-a/nyheder/salernitana-smeder-mens-jernet-er-varmt-lejer-iron-gomis,"Det ser tungt ud for Salernitana, som i skrivende stund ligger på jumbopladsen i Serie A. Med seks point op til overlevelse har klubben brug for at gå til stålet frem mod sommeren, hvis ikke det skal ende med en tur ned i Serie B. I et forsøg på at banke rusten af har klubben fra den italienske kystby hentet Iron Gomis, som er på kontrakt i Süper Lig-klubben Kasimpasa. 24-årige Gomis skal tørne ud for prygelknaben frem til sommeren. Den franske kreatør har jernet igennem for Kasimpasa i denne sæson, hvor han har fået spilletid i 21 af 23 kampe. Her er det blevet til ét mål og fire assists."
35,Brightons U21-kaptajn tager på græs i League One,"Feb 1, 2024",https://bold.dk/fodbold/nyheder/brightons-u21-kaptajn-tager-pa-graes-i-league-one,"Transfervinduets sidste dag byder vanen tro på en række udlån, og i Brighton er der også gang i svingdøren. Torsdag eftermiddag meddeler klubben, at U21-holdets anfører skal på lejeophold i League One-klubben Shrewsbury Town. Her kan den 21-årige centrale midtbanespiller formentlig se frem til mere spilletid end de to optrædener, han har fået på den engelske sydkyst. I alt 11 minutters førsteholdsfodbold er det blevt til for Jack Hinchy siden debuten i august 2022."
